ano,mes,tipo,formulario,metrica,unidades,monto_dolar,monto_local
2015,2,Otros, Marchamos ,real,10923,32747.91,17382367.32
2015,2, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,242,725.76,385226.58
2015,2, Exportaci▋ , Certificado Origen S.G.P. ,real,553,1660.08,881158.47
2015,2, Exportaci▋ , Certificado EUR-1 ,real,4131,12394.73,6579039.12
2015,2, Exportaci▋ , EFTA-EUR ,real,83,249.46,132412.62
2015,2, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,real,1185,3556.25,1887634.5
2015,2, Exportaci▋ , Registro Exportador Electr南ico ,real,362,1085.83,576352.5
2015,2, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,real,232,696.3,369588.87
2015,2, Importaci▋ , Declaraci南 Aduanera Importaci南 ,real,69,206.73,109728.99
2015,2, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,real,224,224.52,119172.75
2015,2, Importaci▋ , Declaraci南 Valor Aduanas ,real,15567,3892.34,2066025.95
2015,2, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,real,114,342.11,181587.42
2015,2, Exportaci▋ ,Declaraci南 Aduanera Exportaci南,real,,0,
2015,2, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,real,40,39.92,21189.8
2015,2, Exportaci▋ , Certificado de Orign China-Costa Rica ,real,234,703.17,373239.42
2015,2,Costo,Costo de ventas,real,,-6124.55,-3274164.69
2015,3,Otros, Declaraci南 Unica Aduanera (TICA) ,presupuesto,70401.69,211205.07,117218814.8
2015,3,Otros,Derechos Electr南icos (FAD),presupuesto,25820.5,77461.5,42991132.5
2015,3,Otros, Marchamos ,presupuesto,9558.25,28674.75,15914486.25
2015,3, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,presupuesto,374,1122,622710
2015,3, Exportaci▋ , Certificado Origen S.G.P. ,presupuesto,1210,3630,2014650
2015,3, Exportaci▋ , Certificado EUR-1 ,presupuesto,5287,15861,8802855
2015,3, Exportaci▋ , EFTA-EUR ,presupuesto,31,93,51615
2015,3, Exportaci▋ , Certificado de Orign para Exportaci南 de banano ,presupuesto,888,2664,1478520
2015,3, Exportaci▋ , Registro Exportador Electr南ico ,presupuesto,306.25,918.75,509906.25
2015,3, Exportaci▋ , Certificado Libre Venta de Alimentos y Bebidas C.A. ,presupuesto,214.5,643.5,357142.5
2015,3, Importaci▋ , Declaraci南 Aduanera Importaci南 ,presupuesto,91,273,151515
2015,3, Importaci▋ , Declaraci南 Aduanera Trans.Recep.y Dep.Fiscal ,presupuesto,305,305,169275
2015,3, Importaci▋ , Declaraci南 Valor Aduanas ,presupuesto,12535,3133.75,1739231.25
2015,3, Importaci▋ , Formulario Autorizaci南 Desalmacenaje ,presupuesto,191,573,318015
2015,3, Importaci▋ , Pasan Declaraci南 Aduanera Importaci南 ,presupuesto,48,48,26640
2015,3,Costo,Costo de ventas,presupuesto,,-5197.2,-2884447.91
2015,3,Otros, Declaraci南 Unica Aduanera (TICA) ,real,73611.21,220833.63,116427288.9
2015,3,Otros,Derechos Electr南icos (FAD),real,24929,74781.34,39443498.28
2015,3,Otros, Marchamos ,real,9632,28906.25,15246635.73
2015,3, Exportaci▋ , Certificado Libre Venta Productos Alimenticios ,real,84,251.84,132831.06
2015,3, Exportaci▋ , Certificado Origen S.G.P. ,real,505,1594.79,841175.79
2015,3, Exportaci▋ , Certificado EUR-1 ,real,4446,13333.45,7032740.64
2015,3, Exportaci▋ , EFTA-EUR ,real,324,970.95,512126.28
